,stim_name,angle,velocity,stim_type,stationary_time,duration
669,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
670,x_forward,"(0, 0)","(0, 0.02)",b,3,35
671,backward,90,0.02,s,3,35
672,forward_x,"(0, 0)","(0.02, 0)",b,3,35
673,backward_right,45,0.02,s,3,35
674,forward_left,225,0.02,s,3,35
675,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
676,backward_x,"(180, 180)","(0.02, 0)",b,3,35
677,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
678,forward_right,-45,0.02,s,3,35
679,medial_left,"(90, 270)","(0, 0.02)",b,3,35
680,backward_left,135,0.02,s,3,35
681,left,180,0.02,s,3,35
682,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
683,forward,-90,0.02,s,3,35
684,medial_right,"(90, 270)","(0.02, 0)",b,3,35
685,right,0,0.02,s,3,35
686,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
687,x_backward,"(180, 180)","(0, 0.02)",b,3,35
688,converging,"(90, 270)","(0.02, 0.02)",b,3,35
689,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
690,x_forward,"(0, 0)","(0, 0.02)",b,3,35
691,backward,90,0.02,s,3,35
692,forward_x,"(0, 0)","(0.02, 0)",b,3,35
693,backward_right,45,0.02,s,3,35
694,forward_left,225,0.02,s,3,35
695,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
696,backward_x,"(180, 180)","(0.02, 0)",b,3,35
697,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
698,forward_right,-45,0.02,s,3,35
699,medial_left,"(90, 270)","(0, 0.02)",b,3,35
700,backward_left,135,0.02,s,3,35
701,left,180,0.02,s,3,35
702,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
703,forward,-90,0.02,s,3,35
704,blank,-90,0,s,0,14400
705,medial_right,"(90, 270)","(0.02, 0)",b,3,35
706,right,0,0.02,s,3,35
707,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
708,x_backward,"(180, 180)","(0, 0.02)",b,3,35
709,converging,"(90, 270)","(0.02, 0.02)",b,3,35
710,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
711,x_forward,"(0, 0)","(0, 0.02)",b,3,35
712,backward,90,0.02,s,3,35
713,forward_x,"(0, 0)","(0.02, 0)",b,3,35
714,backward_right,45,0.02,s,3,35
715,forward_left,225,0.02,s,3,35
716,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
717,backward_x,"(180, 180)","(0.02, 0)",b,3,35
718,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
719,forward_right,-45,0.02,s,3,35
720,medial_left,"(90, 270)","(0, 0.02)",b,3,35
721,backward_left,135,0.02,s,3,35
722,left,180,0.02,s,3,35
723,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
724,forward,-90,0.02,s,3,35
725,medial_right,"(90, 270)","(0.02, 0)",b,3,35
726,right,0,0.02,s,3,35
727,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
728,x_backward,"(180, 180)","(0, 0.02)",b,3,35
729,converging,"(90, 270)","(0.02, 0.02)",b,3,35
730,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
731,x_forward,"(0, 0)","(0, 0.02)",b,3,35
732,backward,90,0.02,s,3,35
733,forward_x,"(0, 0)","(0.02, 0)",b,3,35
734,backward_right,45,0.02,s,3,35
735,forward_left,225,0.02,s,3,35
736,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
737,backward_x,"(180, 180)","(0.02, 0)",b,3,35
738,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
739,forward_right,-45,0.02,s,3,35
740,medial_left,"(90, 270)","(0, 0.02)",b,3,35
741,backward_left,135,0.02,s,3,35
742,left,180,0.02,s,3,35
743,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
744,forward,-90,0.02,s,3,35
745,medial_right,"(90, 270)","(0.02, 0)",b,3,35
746,right,0,0.02,s,3,35
747,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
748,x_backward,"(180, 180)","(0, 0.02)",b,3,35
749,converging,"(90, 270)","(0.02, 0.02)",b,3,35
750,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
751,x_forward,"(0, 0)","(0, 0.02)",b,3,35
752,backward,90,0.02,s,3,35
753,forward_x,"(0, 0)","(0.02, 0)",b,3,35
754,backward_right,45,0.02,s,3,35
755,forward_left,225,0.02,s,3,35
756,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
757,backward_x,"(180, 180)","(0.02, 0)",b,3,35
758,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
759,forward_right,-45,0.02,s,3,35
760,medial_left,"(90, 270)","(0, 0.02)",b,3,35
761,backward_left,135,0.02,s,3,35
762,left,180,0.02,s,3,35
763,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
764,forward,-90,0.02,s,3,35
765,medial_right,"(90, 270)","(0.02, 0)",b,3,35
766,right,0,0.02,s,3,35
767,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
768,x_backward,"(180, 180)","(0, 0.02)",b,3,35
769,converging,"(90, 270)","(0.02, 0.02)",b,3,35
770,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
771,x_forward,"(0, 0)","(0, 0.02)",b,3,35
772,backward,90,0.02,s,3,35
773,forward_x,"(0, 0)","(0.02, 0)",b,3,35
774,backward_right,45,0.02,s,3,35
775,forward_left,225,0.02,s,3,35
776,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
777,backward_x,"(180, 180)","(0.02, 0)",b,3,35
778,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
779,forward_right,-45,0.02,s,3,35
780,medial_left,"(90, 270)","(0, 0.02)",b,3,35
781,backward_left,135,0.02,s,3,35
782,left,180,0.02,s,3,35
783,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
784,forward,-90,0.02,s,3,35
